Linux 6.1.84-8-rk2410 (rock-5c) 	02/25/2026 	_aarch64_	(8 CPU)

12:22:26 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:22:33 PM  1000         -     14315    5.00   11.00    0.00    2.00   16.00     6  |__worker
12:22:33 PM  1000         -     14316    4.00    9.00    0.00    2.00   13.00     7  |__worker
12:22:33 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:33 PM  1000         -     14364    7.00   17.00    0.00    4.00   24.00     6  |__cv
12:22:33 PM  1000         -     14365    5.00   14.00    0.00    0.00   19.00     2  |__Aggregator
12:22:33 PM  1000         -     14366    1.00    1.00    0.00    0.00    2.00     3  |__cv
12:22:33 PM  1000         -     14369    0.00    2.00    0.00    0.00    2.00     3  |__cv
12:22:34 PM  1000     14312         -   28.00   71.00    0.00    0.00   99.00     6  cv
12:22:34 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:34 PM  1000         -     14313    4.00    8.00    0.00    1.00   12.00     4  |__worker
12:22:34 PM  1000         -     14314    3.00   11.00    0.00    2.00   14.00     5  |__worker
12:22:34 PM  1000         -     14315    4.00   10.00    0.00    2.00   14.00     6  |__worker
12:22:34 PM  1000         -     14316    2.00   10.00    0.00    0.00   12.00     7  |__worker
12:22:34 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:34 PM  1000         -     14364    7.00   17.00    0.00    3.00   24.00     1  |__cv
12:22:34 PM  1000         -     14365    9.00   11.00    0.00    0.00   20.00     4  |__Aggregator
12:22:34 PM  1000         -     14366    1.00    1.00    0.00    0.00    2.00     4  |__cv
12:22:34 PM  1000         -     14369    0.00    4.00    0.00    0.00    4.00     2  |__cv
12:22:35 PM  1000     14312         -   32.00   78.00    0.00    0.00  110.00     6  cv
12:22:35 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:35 PM  1000         -     14313    2.00    8.00    0.00    0.00   10.00     4  |__worker
12:22:35 PM  1000         -     14314    5.00   10.00    0.00    0.00   15.00     5  |__worker
12:22:35 PM  1000         -     14315    6.00   10.00    0.00    1.00   16.00     6  |__worker
12:22:35 PM  1000         -     14316    3.00    9.00    0.00    2.00   12.00     7  |__worker
12:22:35 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:35 PM  1000         -     14364    8.00   24.00    0.00    2.00   32.00     2  |__cv
12:22:35 PM  1000         -     14365    6.00   11.00    0.00    1.00   17.00     0  |__Aggregator
12:22:35 PM  1000         -     14366    1.00    1.00    0.00    0.00    2.00     0  |__cv
12:22:35 PM  1000         -     14369    1.00    3.00    0.00    0.00    4.00     3  |__cv
12:22:36 PM  1000     14312         -   28.00   82.00    0.00    0.00  110.00     6  cv
12:22:36 PM  1000         -     14312    0.00    0.00    0.00    0.00    0.00     6  |__cv
12:22:36 PM  1000         -     14313    5.00    9.00    0.00    2.00   14.00     4  |__worker
12:22:36 PM  1000         -     14314    3.00   14.00    0.00    1.00   17.00     5  |__worker
12:22:36 PM  1000         -     14315    4.00   11.00    0.00    0.00   15.00     6  |__worker
12:22:36 PM  1000         -     14316    3.00    8.00    0.00    1.00   11.00     7  |__worker
12:22:36 PM  1000         -     14317    0.00    0.00    0.00    0.00    0.00     0  |__cv
12:22:36 PM  1000         -     14364    8.00   23.00    0.00    3.00   31.00     1  |__cv
12:22:36 PM  1000         -     14365    6.00   13.00    0.00    0.00   19.00     0  |__Aggregator
12:22:36 PM  1000         -     14366    1.00    1.00    0.00    0.00    2.00     2  |__cv
12:22:36 PM  1000         -     14369    1.00    3.00    0.00    0.00    4.00     4  |__cv
Average:     1000     14312         -   30.50   78.40    0.00    0.00  108.90     -  cv
Average:     1000         -     14312    0.00    0.00    0.00    0.00    0.00     -  |__cv
Average:     1000         -     14313    3.60    8.60    0.00    0.80   12.20     -  |__worker
Average:     1000         -     14314    4.20   11.40    0.00    1.20   15.60     -  |__worker
Average:     1000         -     14315    4.40   10.80    0.00    1.10   15.20     -  |__worker
Average:     1000         -     14316    2.80    9.30    0.00    1.10   12.10     -  |__worker
Average:     1000         -     14317    0.00    0.00    0.00    0.00    0.00     -  |__cv
Average:     1000         -     14364    7.30   21.90    0.00    3.00   29.20     -  |__cv
Average:     1000         -     14365    7.40   12.30    0.00    0.20   19.70     -  |__Aggregator
Average:     1000         -     14366    0.90    0.60    0.00    0.00    1.50     -  |__cv
Average:     1000         -     14369    0.40    3.30    0.00    0.10    3.70     -  |__cv
