Linux 6.1.84-8-rk2410 (rock-5c) 	02/25/2026 	_aarch64_	(8 CPU)

09:35:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:13 AM  all    3.02    0.00    5.16    0.00    0.00    0.38    0.00    0.00    0.00   91.44
09:35:13 AM    0    4.08    0.00    7.14    0.00    0.00    2.04    0.00    0.00    0.00   86.73
09:35:13 AM    1    0.98    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   96.08
09:35:13 AM    2    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:35:13 AM    3    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
09:35:13 AM    4    4.08    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   87.76
09:35:13 AM    5    6.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
09:35:13 AM    6    3.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
09:35:13 AM    7    3.06    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   87.76

09:35:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:14 AM  all    4.98    0.00    8.17    0.13    0.00    0.38    0.00    0.00    0.00   86.33
09:35:14 AM    0    2.15    0.00    3.23    0.00    0.00    2.15    0.00    0.00    0.00   92.47
09:35:14 AM    1    2.04    0.00    4.08    1.02    0.00    1.02    0.00    0.00    0.00   91.84
09:35:14 AM    2    6.12    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   86.73
09:35:14 AM    3    3.06    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   87.76
09:35:14 AM    4    4.12    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   84.54
09:35:14 AM    5    9.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   79.00
09:35:14 AM    6    9.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
09:35:14 AM    7    4.04    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   86.87

09:35:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:15 AM  all    4.28    0.00    2.64    0.00    0.00    0.00    0.00    0.00    0.00   93.08
09:35:15 AM    0    1.02    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   94.90
09:35:15 AM    1    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
09:35:15 AM    2    3.06    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   91.84
09:35:15 AM    3    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:35:15 AM    4    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:35:15 AM    5    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:35:15 AM    6    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:35:15 AM    7   18.63    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   78.43

09:35:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:35:16 AM  all    1.53    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.43
09:35:16 AM    0    5.15    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   92.78
09:35:16 AM    1    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:35:16 AM    2    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:35:16 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:35:16 AM    4    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:35:16 AM    5    1.04    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   94.79
09:35:16 AM    6    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
09:35:16 AM    7    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    3.30    0.00    4.70    0.01    0.00    0.18    0.00    0.00    0.00   91.81
Average:       0    2.90    0.00    4.35    0.00    0.00    0.52    0.00    0.00    0.00   92.23
Average:       1    2.01    0.00    1.91    0.10    0.00    0.60    0.00    0.00    0.00   95.37
Average:       2    2.33    0.00    2.74    0.00    0.00    0.10    0.00    0.00    0.00   94.83
Average:       3    1.42    0.00    4.87    0.00    0.00    0.10    0.00    0.00    0.00   93.60
Average:       4    3.63    0.00    5.95    0.00    0.00    0.00    0.00    0.00    0.00   90.41
Average:       5    5.37    0.00    6.69    0.00    0.00    0.00    0.00    0.00    0.00   87.94
Average:       6    3.35    0.00    5.58    0.00    0.00    0.00    0.00    0.00    0.00   91.08
Average:       7    5.32    0.00    5.52    0.00    0.00    0.10    0.00    0.00    0.00   89.06
